[+] PPP: Beggining PIGA policy parsing and loading...
[+] PPP: Policy successfully parsed. Setting up in the kernel...
[+] PPP: PIGA policy loadded :
[+] 	240853 signatures have been loaded
[+] 	156946 signatures have been ignored
[+] Policy stats : '<name> (<uint>): <count>'
[+] 	SID stats :
[+] 		staff_u:object_r:ssh_agent_tmp_t (366): 71
[+] 		staff_u:object_r:user_devpts_t (426): 1025
[+] 		staff_u:object_r:user_mozilla_tmp_t (0): 431
[+] 		staff_u:object_r:user_mozilla_tmpfs_t (0): 971
[+] 		staff_u:object_r:user_tty_device_t (513): 913
[+] 		staff_u:object_r:xauth_home_t (0): 823
[+] 		staff_u:object_r:xserver_tmp_t (0): 931
[+] 		staff_u:object_r:xserver_tmpfs_t (0): 931
[+] 		staff_u:staff_r:chfn_t (475): 512
[+] 		staff_u:staff_r:chkpwd_t (473): 1257
[+] 		staff_u:staff_r:cronjob_t (582): 48
[+] 		staff_u:staff_r:crontab_t (474): 512
[+] 		staff_u:staff_r:gpg_agent_t (0): 1175
[+] 		staff_u:staff_r:gpg_helper_t (0): 220
[+] 		staff_u:staff_r:gpg_pinentry_t (0): 391
[+] 		staff_u:staff_r:gpg_t (0): 1546
[+] 		staff_u:staff_r:iceauth_t (0): 170
[+] 		staff_u:staff_r:java_t (0): 377
[+] 		staff_u:staff_r:newrole_t (231): 26276
[+] 		staff_u:staff_r:pam_t (575): 170
[+] 		staff_u:staff_r:passwd_t (344): 512
[+] 		staff_u:staff_r:ping_t (490): 195
[+] 		staff_u:staff_r:ssh_t (336): 512
[+] 		staff_u:staff_r:staff_dbusd_t (0): 170
[+] 		staff_u:staff_r:staff_ssh_agent_t (418): 180
[+] 		staff_u:staff_r:staff_su_t (337): 854
[+] 		staff_u:staff_r:staff_sudo_t (0): 25934
[+] 		staff_u:staff_r:staff_t (230): 68186
[+] 		staff_u:staff_r:traceroute_t (445): 195
[+] 		staff_u:staff_r:updpwd_t (361): 231
[+] 		staff_u:staff_r:user_home_t (0): 945
[+] 		staff_u:staff_r:user_mail_t (581): 170
[+] 		staff_u:staff_r:user_mozilla_t (0): 911
[+] 		staff_u:staff_r:user_tmp_t (0): 901
[+] 		staff_u:staff_r:utempter_t (465): 170
[+] 		staff_u:staff_r:xauth_t (0): 1648
[+] 		staff_u:staff_r:xserver_t (0): 6249
[+] 		staff_u:sysadm_r:admin_crontab_t (463): 434
[+] 		staff_u:sysadm_r:auditctl_t (579): 169
[+] 		staff_u:sysadm_r:bootloader_t (314): 3201
[+] 		staff_u:sysadm_r:checkpolicy_t (507): 144
[+] 		staff_u:sysadm_r:chfn_t (462): 434
[+] 		staff_u:sysadm_r:chkpwd_t (461): 1850
[+] 		staff_u:sysadm_r:consoletype_t (595): 340
[+] 		staff_u:sysadm_r:cronjob_t (583): 48
[+] 		staff_u:sysadm_r:depmod_t (576): 629
[+] 		staff_u:sysadm_r:dhcpc_t (313): 3571
[+] 		staff_u:sysadm_r:fsadm_t (376): 227
[+] 		staff_u:sysadm_r:gcc_config_t (355): 869
[+] 		staff_u:sysadm_r:gpg_agent_t (0): 1019
[+] 		staff_u:sysadm_r:gpg_helper_t (0): 194
[+] 		staff_u:sysadm_r:gpg_pinentry_t (0): 339
[+] 		staff_u:sysadm_r:gpg_t (0): 1364
[+] 		staff_u:sysadm_r:groupadd_t (396): 1574
[+] 		staff_u:sysadm_r:hostname_t (511): 339
